A,AA,B,BB,C,CC,D,DD,E,EE,F,FF,G,GG,H,HH
161.18,261.06,,,,,,,84.27065465,171.098755,,,,,142.5014656,177.7230348
162.43,245.31,,,,,,,86.75051569,180.0075113,,,,,143.5730105,175.5747564
163.4,230.82,,,,,,,87.48528933,183.5815165,,,,,146.8182608,168.7845115
164.39,218.79,,,,,,,89.00075996,187.459791,,,,,147.6908045,166.0914409
165.69,202.07,,,,,,,91.11323418,197.329235,,,,,148.6092715,164.2457467
166.73,186.58,,,,,,,92.50011942,206.3229396,,,,,150.8824775,157.457608
167.72,174.33,,,,,,,93.62589761,210.0880232,,,,,151.7090978,154.914952
168.95,160.82,,,,,,,95.20041255,216.3499239,,,,,152.6046032,151.9784449
169.94,148.1,,,,,,,95.68720009,220.626683,,,,,155.4151124,141.9630443
170.89,134.97,,,,,,,96.34849636,221.5858262,,,,,157.2887851,133.4360036
172.46,119.92,,,,,,,96.48626642,224.6439637,,,,,158.2072522,130.274163
173.39,105.64,,,,,,,97.9558137,228.5052485,,,,,162.2878701,110.8375584
174.57,93.5,,,,,,,98.48393225,231.0776365,,,,,163.6629465,105.9418906
174.7,82.9,,,,,,,99.35188362,235.808946,,,,,164.9120617,97.04284266
175.33,66.07,,,,,,,100.4941226,240.2531023,,,,,166.7183802,87.26356888
176.16,57.59,,,,,,,101.3541418,243.9632587,,,,,168.7696233,77.29733536
180,0,,,,,,,102.0429921,247.0008028,,,,,169.7340137,69.37397893
,,,,,,,,103.1123501,251.0419131,,,,,171.1392683,62.33099544
,,,,,,,,103.9520914,252.9019492,,,,,171.8924112,57.15687379
,,,,,,,,104.7892086,260.1461608,,,,,172.9945717,48.52304096
,,,,,,,,105.5331669,264.4306424,,,,,176.1173597,29.99549321
,,,,,,,,106.8649441,264.9936879,,,,,180,0
,,,,,,,,107.6915644,267.8550504,,,,,,
,,,,,,,,109.6203452,275.1959045,,,,,,
,,,,,,,,110.5847356,278.7173962,,,,,,
,,,,,,,,112.6512865,286.131063,,,,,,
,,,,,,,,113.4779069,288.9575235,,,,,,
,,,,,,,,114.3045272,291.6449777,,,,,,
,,,,,,,,116.4170014,298.7806321,,,,,,
,,,,,,,,117.4535571,301.7527182,,,,,,
,,,,,,,,121.1011834,311.8008845,,,,,,
,,,,,,,,121.9966887,313.5558384,,,,,,
,,,,,,,,124.8056671,320.0022534,,,,,,
,,,,,,,,125.9805396,322.6259964,,,,,,
,,,,,,,,126.4742156,323.4774097,,,,,,
,,,,,,,,128.8163066,327.995113,,,,,,
,,,,,,,,129.849582,329.663188,,,,,,
,,,,,,,,132.8116383,334.7369162,,,,,,
,,,,,,,,134.1319346,334.6847889,,,,,,
,,,,,,,,135.0618825,336.9610163,,,,,,
,,,,,,,,138.3913256,339.7758929,,,,,,
,,,,,,,,139.286831,339.9913526,,,,,,
,,,,,,,,142.1891868,338.5178863,,,,,,
,,,,,,,,143.1443926,339.3086774,,,,,,
,,,,,,,,144.7057866,338.976607,,,,,,
,,,,,,,,146.450874,335.560657,,,,,,
,,,,,,,,147.4611877,333.2277055,,,,,,
,,,,,,,,150.5380523,324.1492733,,,,,,
,,,,,,,,151.5811685,320.876007,,,,,,
,,,,,,,,152.3290631,318.0561658,,,,,,
,,,,,,,,153.9823038,311.9862261,,,,,,
,,,,,,,,154.9722071,308.9538305,,,,,,
,,,,,,,,156.875475,301.2364092,,,,,,
,,,,,,,,157.9317121,296.3557452,,,,,,
,,,,,,,,158.8961025,293.6451233,,,,,,
,,,,,,,,159.5849528,289.7297805,,,,,,
,,,,,,,,160.5034198,282.6095713,,,,,,
,,,,,,,,161.3300402,271.3500648,,,,,,
,,,,,,,,161.8260124,265.4085404,,,,,,
,,,,,,,,162.2944306,256.0593769,,,,,,
,,,,,,,,163.1210509,243.6183173,,,,,,
,,,,,,,,163.9476713,233.1233452,,,,,,
,,,,,,,,164.7283683,222.0028449,,,,,,
,,,,,,,,165.5549886,210.0946426,,,,,,
,,,,,,,,166.1979155,198.603459,,,,,,
,,,,,,,,167.7593095,194.1089234,,,,,,
,,,,,,,,168.6012377,171.9065358,,,,,,
,,,,,,,,168.7236999,182.2161662,,,,,,
,,,,,,,,169.3207035,160.5968326,,,,,,
,,,,,,,,170.2391706,155.0018309,,,,,,
,,,,,,,,170.3677559,150.2200158,,,,,,
,,,,,,,,170.8637282,145.3825982,,,,,,
,,,,,,,,171.2494843,139.398379,,,,,,
,,,,,,,,171.5250244,136.0969805,,,,,,
,,,,,,,,172.5353382,123.3084052,,,,,,
,,,,,,,,173.0076927,113.9155541,,,,,,
,,,,,,,,173.6374986,113.8559799,,,,,,
,,,,,,,,174.464119,85.08168554,,,,,,
,,,,,,,,175.0151992,75.49025407,,,,,,
,,,,,,,,175.6122028,65.92199031,,,,,,
,,,,,,,,176.3010531,55.27477325,,,,,,
,,,,,,,,177.2195201,40.18266577,,,,,,
,,,,,,,,177.6328303,32.81533435,,,,,,
,,,,,,,,177.7706004,29.61819052,,,,,,
,,,,,,,,178.1839105,19.74874655,,,,,,
,,,,,,,,178.8727608,9.462283815,,,,,,
,,,,,,,,179.0105309,5.848121233,,,,,,
,,,,,,,,180,0,,,,,,
